STAID,LAT_GAGE,LNG_GAGE,DRAIN_SQKM
01011000,47.069611,-69.079544,3186.844
01013500,47.237394,-68.582642,2252.696
01015800,46.523003,-68.371764,2313.755
01016500,46.628311,-68.434792,847.7721
01017000,46.777294,-68.157194,4278.907
01017060,46.783611,-67.989167,14.8644
01017290,46.88861,-67.945,594.576
01017550,46.628056,-67.953056,10.0323
01017960,46.105,-67.881389,226.2537
01018000,46.104917,-67.866631,450.4734
01018009,46.11528,-67.84028,19.5192
01019000,45.172522,-67.7688,620.6238
01021200,44.901489,-67.247619,242.8407
01021470,44.800833,-67.725,16.1001
01021480,44.936944,-67.736111,76.73849
01021500,44.722994,-67.520478,1184.14
01022260,44.697778,-67.787222,161.9937
01022330,44.740833,-68.013333,264.8124
01022500,44.607972,-67.935242,573.6006
01023000,44.840239,-68.372017,385.0974
01027200,45.935278,-69.993611,582.0489
01029200,46.143056,-68.633611,444.9492
01029500,45.730267,-68.589486,2816.295
01030000,45.566333,-68.403664,8732.993
01030500,45.500975,-68.305956,3676.172
01031300,45.267222,-69.583889,304.3764
01031450,45.184444,-69.452222,239.0922
01031500,45.175008,-69.314697,769.0482
01031510,45.150278,-69.236389,70.1046
01033000,45.270256,-69.111733,844.353
01033500,45.282578,-69.003439,833.9643
01034000,45.260611,-68.868614,3011.229
01034500,45.236175,-68.651383,17347.38
01035000,45.183936,-68.474425,779.4081
01036500,44.897144,-68.883683,391.4991
01037380,44.329167,-69.060833,39.0231
01038000,44.222778,-69.593758,375.0849
01041000,45.58485,-69.716964,3293.256
01042500,45.339708,-69.962058,4124.36
01043500,45.230458,-70.199836,1343.69
01044550,45.313611,-70.241667,499.7628
01045000,45.349056,-69.990189,2254.018
01046000,45.065186,-69.880767,243.1584
01046500,45.05205,-69.885506,7056.902
01047000,44.8692,-69.955103,909.0972
01047150,44.778889,-69.886944,8433.685
01047200,44.857778,-70.485278,65.646
01048000,44.708169,-69.937592,1339.138
01048220,44.9475,-69.656944,49.3893
01049000,44.716778,-69.413819,1488.607
01049265,44.472339,-69.683989,14014.81
01049500,44.229097,-69.778047,561.3147
01052500,44.877394,-71.057494,383.8234
01053500,44.782558,-71.128686,2701.495
01053600,44.666111,-71.181389,3047.351
01054000,44.435792,-71.190178,3527.626
01054200,44.390444,-70.979644,180.981
01054300,44.593242,-70.733017,337.7295
01054500,44.551814,-70.544067,5349.329
01055000,44.642747,-70.588783,250.641
01055500,44.269506,-70.229606,439.5051
01057000,44.303992,-70.539681,190.9188
01058500,44.063872,-70.274069,851.4333
01059000,44.072297,-70.208014,8444.24
01059800,43.917894,-70.316597,35.3142
01060000,43.79915,-70.178269,364.8285
01064000,43.817528,-70.449936,1145.668
01064118,43.686997,-70.347136,1554.034
01064300,44.218956,-71.24924,27.4338
01064400,44.070347,-71.172849,12.1707
01064500,43.990842,-71.090478,993.6964
01064801,43.830074,-71.287849,173.4003
01065000,43.795075,-71.059234,855.2583
01065500,43.807708,-70.797578,1172.306
01066000,43.808039,-70.781539,3354.558
01066500,43.689436,-70.670556,423.9324
01067950,43.43222,-70.55333,71.5041
01068910,43.41833,-70.73806,117.3636
01069500,43.418342,-70.658317,264.5136
01069700,43.37917,-70.58333,27.9072
01072500,43.328108,-70.927139,359.8155
01072800,43.268415,-70.973674,243.9549
01072870,43.2348,-70.95645,191.9754
01073000,43.148696,-70.96506,31.2984
01073319,43.042307,-71.200618,144.3951
01073500,43.102586,-70.952559,471.1374
010735562,42.94898,-71.16478,42.7194
01073587,42.984532,-71.038392,163.053
01073600,42.993143,-71.021725,16.3845
01073785,43.036755,-70.84811,36.9495
01074520,44.047567,-71.659803,297.1881
01075000,43.976179,-71.679524,504.288
01075800,43.836181,-71.885361,7.6743
01076000,43.795626,-71.845359,369.8154
01076500,43.759239,-71.685634,1608.937
01077000,43.705351,-71.629799,150.2946
01077400,43.70389,-71.83333,56.1951
01078000,43.566463,-71.747857,222.4566
01081000,43.441744,-71.587575,1216.967
01081500,43.422854,-71.652854,3908.064
01082000,42.862584,-71.959246,175.023
01083000,42.892861,-71.986747,116.8506
01084000,43.081746,-71.978415,140.0814
01084500,43.114246,-71.926192,143.8074
01085000,43.152024,-71.857301,950.0697
01085500,43.192857,-71.747299,1099.139
01085800,43.259243,-72.025917,14.7681
01086000,43.251189,-71.7323,381.5766
01087000,43.297578,-71.693688,331.8507
01088000,43.28619,-71.598407,1975.255
01089000,43.238692,-71.462015,201.0753
01089100,43.213692,-71.480348,214.1253
01089500,43.256748,-71.369512,400.7988
01090800,43.091471,-71.659518,163.1421
01091000,43.014805,-71.641461,266.7591
01091500,43.01675,-71.550625,519.1128
01092000,42.948141,-71.4634,7987.65
01093000,43.005918,-71.348676,77.7456
01093800,42.860085,-71.832854,9.3897
01093852,42.84259,-71.70674,263.7036
01094000,42.857586,-71.506179,440.5014
01094400,42.576201,-71.788129,166.1607
01094500,42.501758,-71.722571,279.657
01095220,42.410925,-71.791183,78.68936
01095375,42.37287,-71.828128,115.1919
01095505,42.429167,-71.680278,322.7157
01096000,42.634256,-71.657848,173.1357
01096500,42.667589,-71.575068,1125.681
01096503,42.672034,-71.577013,155.7549
010965852,42.782866,-71.353674,123.0804
010965995,42.26944,-71.63333,17.7714
01096835,42.38528,-71.57778,154.1547
01096840,42.39,-71.56972,163.6155
01096885,42.41167,-71.50806,224.5284
01097000,42.432038,-71.449785,299.3094
01097300,42.512593,-71.404228,30.8718
01097380,42.45889,-71.39722,120.4119
01097480,42.2601,-71.45645,90.8289
01098530,42.325373,-71.397561,274.2327
01099500,42.636758,-71.302005,1035.51
01100000,42.645925,-71.298394,11983.35
01100505,42.849255,-71.215061,42.8643
01100561,42.743146,-71.208393,158.2974
01100600,42.568149,-71.214779,96.4215
01100627,42.671481,-71.149224,173.1114
01101000,42.752869,-70.94561,55.4778
01101344,42.56111,-71.11111,58.0671
01101500,42.569539,-71.026997,115.2826
01102000,42.659816,-70.893662,316.4265
01102345,42.46954,-71.006995,60.3816
01102500,42.447318,-71.138943,59.74671
01103025,42.407041,-71.133942,21.5235
01103220,42.04093,-71.42673,3.033
01103280,42.13982,-71.389503,169.119
01103455,42.25399,-71.29339,9.7065
01103500,42.256209,-71.260056,473.3199
01104200,42.316486,-71.227833,548.3745
01104430,42.398151,-71.27339,17.4951
01104460,42.368985,-71.270612,57.1176
01104475,42.354541,-71.268112,2.0808
01104500,42.372319,-71.233667,647.4123
01105000,42.177599,-71.200886,84.8778
01105500,42.154544,-71.145884,60.7122
01105554,42.209266,-71.145885,220.7016
011055566,42.27093,-71.06838,271.8387
01105583,42.220933,-70.978103,73.5768
01105585,42.247877,-70.99727,11.1312
01105600,42.190378,-70.944768,12.6603
01105638,42.23482,-70.87199,39.2292
01105730,42.100657,-70.822541,79.5672
01105870,41.990936,-70.733649,55.1439
011058756,41.9176,-70.62642,11.502
01105876,41.94177,-70.622534,34.9497
01105880,41.700111,-70.106962,25.5222
01105917,41.662604,-70.83837,61.272
01105933,41.585382,-70.990317,68.0985
01106000,41.558437,-71.12921,22.06624
01106500,42.01538,-70.96115,104.4702
01108000,41.93399,-70.956431,677.6388
01108320,41.97732,-71.14394,57.8601
01108410,41.899823,-71.08949,122.022
01108500,42.000099,-71.260053,51.7797
01109000,41.9476,-71.176716,112.7429
01109060,41.866212,-71.122824,220.1049
01109070,41.840379,-71.142824,27.1674
01109090,41.77677,-71.08921,12.771
01109220,41.80927,-71.27783,78.93089
01109403,41.830934,-71.351165,137.592
01109500,42.232038,-71.834794,82.224
01109730,42.188984,-71.76507,185.7519
01110000,42.230372,-71.710902,66.08279
01110500,42.153707,-71.652011,363.5217
01111050,42.0751,-71.62479,145.3851
01111200,42.104819,-71.607287,72.3798
01111212,42.05482,-71.616454,631.4301
01111225,42.04454,-71.62201,18.0576
01111300,41.981209,-71.685901,41.0625
01111500,41.996487,-71.562563,237.2391
01112500,42.006209,-71.503117,1047.424
01113695,41.9851,-71.41367,10.6497
01113895,41.888711,-71.381445,1247.535
01114000,41.833989,-71.411168,60.42774
01114500,41.858988,-71.487282,98.8735
01115098,41.852599,-71.606175,13.3569
01115187,41.81871,-71.705068,38.8251
01115630,41.626767,-71.632565,21.7368
01115670,41.612322,-71.622842,10.899
01115770,41.643156,-71.607842,18.9081
01116000,41.6901,-71.565896,168.2577
01116500,41.750934,-71.445058,525.0195
01116905,41.63,-71.478889,40.7619
01117000,41.641212,-71.445335,59.6844
01117350,41.482323,-71.551172,25.2135
01117370,41.53899,-71.568673,50.4774
01117420,41.476767,-71.604785,93.1356
01117430,41.446212,-71.621174,189.0441
01117468,41.4926,-71.628119,25.3413
01117500,41.4451,-71.680898,260.4375
01117800,41.573988,-71.720623,90.76591
01118000,41.498155,-71.716456,193.2111
01118300,41.474821,-71.834237,10.3644
01118500,41.383711,-71.833125,765.774
01119384,41.816111,-72.316944,255.6423
01119500,41.750654,-72.265635,314.8461
01120000,41.727599,-72.302303,192.8583
01120500,41.926486,-72.05702,6.6564
01121000,41.843709,-72.168966,70.25372
01122000,41.719821,-72.195634,453.2904
01122500,41.700376,-72.182022,1048.47
01123000,41.671765,-72.052298,77.85271
011230695,41.56843,-72.04508,1330.078
01123360,42.108706,-72.123688,162.2727
01123600,42.082873,-72.05702,244.6191
01124000,42.022319,-71.955629,392.0004
01124151,41.943431,-71.90035,433.9116
01124350,42.118429,-71.881183,80.4609
01124500,42.115929,-71.890072,72.5976
01125000,42.05093,-71.885072,222.2319
01125100,41.97815,-71.90035,262.3277
01125500,41.909264,-71.91285,839.9187
01126000,41.837321,-71.88535,150.3765
